dep_id,application_id,application_name,library,version,is_risky,risk_type,severity,score,explanation
DEP-0001,APP-001,CustomerPortal,micrometer-core,3.0.10,True,VULNERABLE_DEPENDENCY,MEDIUM,9.15,"micrometer-core:3.0.10 has CVE-2026-1050 (CVSS 6.1, MEDIUM). No patch available. [risk model confidence: 70%]"
DEP-0002,APP-001,CustomerPortal,sqlalchemy,5.13.5,True,VULNERABLE_DEPENDENCY,LOW,4.65,"sqlalchemy:5.13.5 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available. [risk model confidence: 100%]"
DEP-0003,APP-001,CustomerPortal,netty-all,2.7.4,False,NONE,NONE,0.0,
DEP-0004,APP-001,CustomerPortal,json-iterator,2.3.2,True,VULNERABLE_DEPENDENCY,MEDIUM,9.75,"json-iterator:2.3.2 has CVE-2022-1083 (CVSS 6.5, MEDIUM). No patch available. [risk model confidence: 68%]"
DEP-0005,APP-001,CustomerPortal,log4j-api,5.1.3,True,VULNERABLE_DEPENDENCY,MEDIUM,9.45,"log4j-api:5.1.3 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available. [risk model confidence: 72%]"
DEP-0006,APP-001,CustomerPortal,commons-collections4,4.7.1,True,UNMAINTAINED,LOW,2.0,"commons-collections4 last updated 2021-03-31, over 2 years old. [risk model confidence: 99%]"
DEP-0007,APP-001,CustomerPortal,commons-codec,4.11.10,False,NONE,NONE,0.0,
DEP-0008,APP-001,CustomerPortal,gson,1.6.10,False,NONE,NONE,0.0,
DEP-0009,APP-001,CustomerPortal,lombok,4.1.2,True,VULNERABLE_DEPENDENCY,CRITICAL,9.9,"lombok:4.1.2 has CVE-2023-1002 (CVSS 9.9, CRITICAL). Patched in 4.10.0. [risk model confidence: 100%]"
DEP-0010,APP-001,CustomerPortal,werkzeug,1.7.10,True,VULNERABLE_DEPENDENCY,MEDIUM,8.4,"werkzeug:1.7.10 has CVE-2024-1004 (CVSS 5.6, MEDIUM). No patch available. [risk model confidence: 100%]"
